Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent,Value
64,2018-04-30,Matt Allard,yes,no,no,Louis Riel School Division,2018-03-12,Coffee,Had a meeting to discuss Active Transportation upgrades in Windsor Park on Louis Riel School Division Land,Retained,
214,2018-07-05,Matt Allard,yes,no,no,Union Nationale Francaise,2018-05-25,Hospitality,I attended as City Councillor for St. Boniface an event commemorating Honorary Consul Bruneau Burnichon on his retirement,Retained,
208,2018-07-05,Matt Allard,yes,no,no,Municipal Administrators Conference,2018-04-23,Coffee,Spoke on behalf of the city of Winnipeg to the Municipal Adminstrators Conference,Retained,
450,2019-08-14,John Orlikow,yes,no,no,Winnipeg Fringe Festival,2019-07-03,2 fringe passes 6 plays each - $124.00,Given to all City Councillors,Received but not used,124
119,2018-06-18,Brian Bowman,yes,yes,no,Brenlee Carrington-Trepel and Brent Trepel,2018-04-26,WSO Gala - $550,Past board membership,Retain,550
458,2019-08-20,Vivian Santos,yes,no,no,Casa Dos Acores,2019-04-20,Dinner,attended annual traditional Easter Dinner,retained,
617,2022-03-25,John Orlikow,yes,no,yes,Earls Restarant,2022-03-02,2 x $100.00 Earls gift cards,Grand opening of new location,"has been returned, not accepted.",100
269,2018-12-05,Ross Eadie,yes,no,no,Winnipeg Fringe Festival,2018-07-12,12 fringe passes- $120,Found in mail.,retained,120
58,2018-04-30,Brian Bowman,yes,no,no,Rick Hansen - Rick Hansen Foundation,2018-03-21,Book - $35,Meeting,Retained,35
199,2018-07-05,Matt Allard,no,no,yes,Norwood BIZ,2018-05-29,Hospitality,Regular meeting of the Biz improvement Zone of which Councillor Matt Allard is a member of the board of directors,Retained,
49,2018-04-10,Brian Mayes,yes,no,no,Facility Architecture Students at UofM,2018-04-10,Book of student architecture projects,Meeting with students regarding Canoe Club,retain,
447,2019-07-31,Kevin Klein,yes,no,no,Winnipeg Public Library,2019-07-02,More than Books: The History of Winnipeg Public Library - $12.00,Complimentary copy to Learn history of the Winnipeg Public Library,donated,12
451,2019-08-19,Jeff Browaty,yes,no,no,Folklorama,2019-08-01,VIP Tickets (valued up to $238.50 if visiting all 45 pavilions plus guest),VIP Tickets,Retained,238
474,2019-09-26,Brian Bowman,yes,no,no,"Chief Erwin Redsky, Shoal Lake 40",2019-07-01,"tote bag, t-sirt, pen, notebook - $30.00",Courtesy Gift,Retained,30
468,2019-08-20,Vivian Santos,yes,no,no,Winnipeg Housiong Rehabilitaton Corporation,2019-06-24,Lunch,attended as Board Member to the AGM,retained,
181,2018-06-28,Brian Bowman,yes,no,yes,Melissa Gerardy - PCL,2018-06-12,"Reception, True North Square Sneak Peek and Thank You to Stakeholders - $100","Protocol, speaking",Retain,100
143,2018-06-18,Brian Bowman,yes,no,yes,Karen Wiebe - TJ's Gift Foundation,2018-05-17,Gala tickets - $100,Bring greetings,Retain,100
631,2022-05-09,Brian Bowman,yes,no,no,Southern Chiefs Organization,2022-04-22,"Blanket - $1,000",Gift,Retained,1
650,2022-08-18,Janice Lukes,yes,no,no,Folklorama,2022-07-12,VIP Tickets: 4*2 free tickets,"Folklorama provided the tickets to Councillors as a ""great way to join the community in celebrating the return of Folklorama.""",Attended 4 Pavilions,
